date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5
2018-06-22,7726.92593814866,10126.261617090882,12942.001548783306,15582.961155198045,15703.14870742168
2018-06-25,8033.328913345615,10527.807679772928,13455.202763767504,16200.886795815128,16325.840256742655
2018-06-26,8044.461444570771,10542.397042288983,13473.84888999042,16223.337871835432,16314.407595498436
2018-06-27,7625.336045104029,9993.12641651347,12771.846358524117,15378.08390262087,15464.408792267008
2018-06-28,7850.422545197198,10288.105921256192,13148.848785638615,14913.956621857666,14997.676132540639
2018-06-29,7927.549503535977,10188.204510099918,13021.168476083116,14769.136445641487,14852.043008117807
2018-07-02,8316.37822389242,10687.91334454175,13659.8279097256,15493.529831310922,15580.502776795314
2018-07-03,8692.495832008157,10209.83668430184,13048.815760205453,14800.495114589225,14883.577708985615
2018-07-05,8837.647820125698,10023.943299293542,12811.232279977623,14531.018312782979,14612.588198878033
2018-07-06,8489.21009245049,9628.734065271216,13305.731556647825,15091.899412111949,15176.617804829204
2018-07-09,8379.713452411295,9504.539468071207,13455.763309371196,15262.07150006398,15347.74515397023
2018-07-10,8386.169317937036,9486.450100933598,13430.15383681993,15233.024199500649,15318.53479635561
2018-07-11,8455.712932184859,9565.117964816274,13541.525477709538,15359.34642346195,15445.566130249746
2018-07-12,8765.544589839765,9212.215841594767,13041.91500658728,14792.668000459511,14875.706657342762
2018-07-13,8744.5408887459,9190.141841974331,13077.986743145562,14833.582024422802,14916.85035222123
2018-07-16,8678.933684408055,9121.191450937089,12979.867223836158,14722.290893267938,14804.934488188306
2018-07-17,8257.366358180061,8678.142058948626,12349.387936942034,14007.175761212518,14085.805056610925
2018-07-18,8297.450660889674,8625.54705795812,12274.542876056468,13922.283463064958,14000.43621546127
2018-07-19,8330.455635674438,8659.857109899083,12323.367628944521,13977.662474453442,14056.126096986573
2018-07-20,8417.023120297754,8749.847631424813,12451.428203825639,14122.913962996923,14202.192954908895
2018-07-23,8278.171992625914,8605.506075839643,12246.023653723252,13889.935806498152,13967.906975291387
2018-07-24,8127.771699153071,8449.158679283793,12023.534249898832,13637.57931723009,13714.133882613856
2018-07-25,7792.1309245321745,8100.246053661547,11527.015831481956,13074.408025587389,13147.80122835207
2018-07-26,7811.089880552934,8119.954681529337,11485.048913216833,13026.807447866644,13099.93344473982
2018-07-27,7355.326350854454,7646.169427072178,12165.084704130988,13798.131573069275,13875.587398704678
2018-07-30,7037.510681108309,7315.786743620593,12684.556488857079,14387.337502043507,14468.100835761166
2018-07-31,7102.255476822548,7383.091667146487,12570.109362641828,14257.526938115294,14337.561580100164
2018-08-01,7069.601428653249,7415.243895047144,12624.85025428784,14319.616273597052,14399.999454129871
2018-08-02,7516.530066272302,7884.023483977627,13422.972635193872,15224.878989886492,15310.343863598988
2018-08-03,7492.2831950907785,7858.591150158344,13472.46698683454,15281.0174872888,15366.797494513627
2018-08-06,7639.2581122381,8012.751871678588,13736.75420978114,15580.782755183725,15668.245495045117
2018-08-07,7620.223415945147,8028.287079556712,13763.387173791161,15610.990941195476,15698.623254739805
2018-08-08,7665.744638101542,8076.245967339333,13845.606049926948,15704.24691912765,15792.40272519906
2018-08-09,7665.744638101542,8076.245967339333,13845.606049926948,15704.24691912765,15792.40272519906
2018-08-10,7639.014975584249,8048.084928939927,13797.327846760298,15649.487826560166,15737.336242409689
2018-08-13,7575.44373181453,8107.358876861743,13898.944827628418,15764.745920209136,15853.241337484718
2018-08-14,7525.687122738573,8054.108572251814,13807.654549614439,15661.20079101236,15749.11495759976
2018-08-15,7623.107020767551,7940.53154310428,13612.942450916944,15440.35044577932,15527.024868728875
2018-08-16,7526.862195220349,7840.279103903817,13801.702664347276,15654.449921781155,15742.326192357252
2018-08-17,7586.478841206711,7902.378174093851,13911.019295953993,15778.441271017055,15867.013567158341
2018-08-20,7516.845470889098,7829.84528534477,13783.335402225955,15633.617029487279,15721.37635460127
2018-08-21,7528.350375517272,7841.829251705408,13804.431480344745,15657.545055361194,15745.438700472794
2018-08-22,7667.334952069867,7986.601115869758,14059.281874939084,15946.606690490393,16036.122983385128
2018-08-23,7667.334952069867,7986.601115869758,14059.281874939084,15946.606690490393,16036.122983385128
2018-08-24,7521.832721131247,7835.040203604904,13792.480321206742,15643.98956682597,15731.807118188875
2018-08-27,7412.634466426523,7943.242910156975,13982.955885088864,15860.034662755932,15949.064983484828
2018-08-28,7438.530132684782,7912.744489649142,13929.267728582836,15799.139382089767,15887.827867098636
2018-08-29,7659.329733991528,8147.62030481588,14342.733387268814,16268.108871267064,16359.429916980962
2018-08-30,7652.466535305156,8151.012182023761,14348.70430744611,16274.88133066397,16366.240393585587
2018-08-31,7597.757212443278,8092.738636486504,14246.121971021115,16158.528291660115,16249.23420667881
2018-09-04,7573.3752989175955,8066.768281274626,14200.40483315247,16106.674063037975,16197.088894291497
2018-09-05,7827.380825271407,8337.321851167331,14676.676133823074,16646.880254031305,16740.327533288033
2018-09-06,7600.715067929889,8095.889191407954,15091.342497193074,17117.211631071572,17213.29911599223
2018-09-07,7683.280867947845,7996.998036789779,14907.001994377199,16908.12516977998,17003.038947637277
2018-09-10,7728.249903128141,8043.803209245906,14994.250333809172,17007.085768599765,17102.555061879302
2018-09-11,8005.559853245868,8332.43604263939,15532.28350616276,17617.344774876117,17716.239757708787
2018-09-12,8039.424319630157,8294.366257990214,15461.318582440132,17536.853485385538,17635.29663028269
2018-09-13,7942.896068794117,8194.776954721036,15275.676678362806,17326.290922096174,17423.552073829895
2018-09-14,8025.922856969665,8103.189106355348,15104.95008421247,17132.645907170107,17228.820032415362
2018-09-17,8328.528346007082,8408.70780445272,15674.459770335307,17778.60684968552,17878.407077339336
2018-09-18,8508.32602808052,8590.236414269875,15323.82976718779,17380.908104912105,17478.47585025718
2018-09-19,8537.167811226556,8567.396750373246,15283.08686971522,17334.695861128574,17432.004193996116
2018-09-20,8426.773399874488,8456.611447566695,15085.460746399936,17110.540311200188,17206.59034665996
2018-09-21,8649.507498549585,8248.385348111036,14714.01330918581,16689.229589917708,16782.91459721456
2018-09-24,8908.567674250797,8005.785779048947,14281.248211856815,16198.3698960966,16289.299462002367
2018-09-25,8961.51078895859,8053.363711924881,14366.120863656522,16294.635893824505,16386.10584900654
2018-09-26,8944.738951866808,8038.29150954761,14339.234075877059,16264.139810617435,16355.438576005336
2018-09-27,8841.4693192076,7945.487078265089,14173.683416031232,16076.36554992647,16166.61024431078
2018-09-28,8770.61159536711,8001.726370075087,14274.006770635537,16190.156360294754,16281.039819508935
2018-10-01,8655.686709162748,7896.876499285565,14086.96866206599,15978.010165345184,16067.702741677997
2018-10-02,8671.25449101376,7911.079514572049,14112.304936638051,16006.747593700122,16096.601487616266
2018-10-03,8773.732953180286,8004.574090653356,14279.086722252865,16195.918247080213,16286.83405065173
2018-10-04,8373.003438012005,7638.974965219137,13626.906911243219,15456.189502030478,15542.952837538429
2018-10-05,8067.738054048511,7360.47100387372,13130.093193048555,16020.859126998457,16110.792236021141
2018-10-08,8036.144468386053,7331.647104334713,13183.208456774479,16085.668427674018,16175.965343772035
2018-10-09,8087.8933101644925,7278.476416229143,13087.600982067814,15969.01168645801,16058.653749820425
2018-10-10,7160.847778869222,6444.20737019421,11587.482033842616,14138.62145312891,14217.988619052732
2018-10-11,6965.587426278023,6268.488203674848,11271.517235058753,13753.092770584091,13830.295770855882
2018-10-12,6995.725828724536,6295.610427351326,11187.023102861911,13649.996123128438,13726.62039026476
2018-10-15,7178.450010818087,6460.048013140353,11479.221467488902,14006.525872613136,13339.61881134156
2018-10-16,7553.3138223410715,6106.006342750528,10850.104975652048,13238.900956171125,12608.543606215482
2018-10-17,7669.6128196056425,6200.021027120269,11017.164938810385,13442.741408494667,12802.678394317665
2018-10-18,8086.636684501457,6537.138009682363,11616.207004041209,14173.670610374991,13498.8051155217
2018-10-19,7892.132101049451,6379.902887696673,11336.807101119442,13832.757075414209,13838.07439869932
2018-10-22,7904.071786527589,6389.554783139482,11353.958095220985,13853.684090656892,13859.00945830401
2018-10-23,8258.50798029281,6676.076659250282,11863.094879416096,14474.91415932703,14480.478328327454
2018-10-24,9358.41343302526,7565.226750028408,13443.07552183833,16402.748708820734,16409.053939019876
2018-10-25,9880.462051632778,7987.244456616121,14192.982443159666,17317.75768615312,17324.414646561556
2018-10-26,9631.319677404479,7785.840814047167,13835.09701990813,16881.07899200991,16887.568092766374
2018-10-29,8725.256811710375,7053.390695465413,12533.565342746306,15292.99767814878,18637.450946949404
2018-10-30,9229.07209858769,7460.668800096593,13257.280639042952,14439.073949927275,17596.781097119743
2018-10-31,9027.450368456459,7297.680263942263,12967.657171946172,14709.54219914802,17926.39853600561
2018-11-01,8705.9786620216,7037.806475473389,12505.872868584716,14185.728559788824,18545.842420244204
2018-11-02,9010.882534685546,7284.287030128567,12943.857983952437,13686.1380958751,17892.698242322716
2018-11-05,8917.451569874442,7208.758582990766,13083.842028479681,13834.149683069134,18086.20254919715
2018-11-06,8701.501887982895,7034.187506194693,12766.996851151825,13499.13466225407,17648.217587179555
2018-11-07,8181.911072298353,7416.158081369267,13460.27054142406,14232.164912977316,18606.551412748526
2018-11-08,8220.841656306116,7451.44511427031,13524.316237893961,14299.883382031927,18695.08377474416
2018-11-09,8026.247915637775,7600.0168726836755,13793.972849999209,14585.003756213546,19067.83851258415
2018-11-12,7477.405415793054,7080.320458729296,12850.727809307964,15550.187828315913,20329.680767093392
2018-11-13,7389.73796631494,6997.3085579978615,12700.061840521515,15367.872542463585,20091.329204960486
2018-11-14,7003.202743030702,6631.30015036779,12035.759363001109,14564.02481854123,19040.41150588688
2018-11-15,7418.459328361028,6236.527097937867,11319.24927383248,13697.002605263524,17906.902058379233
2018-11-16,7280.131702763137,6120.238263929357,11108.185924113228,13947.01032938669,18233.751950923714
2018-11-19,7864.557500355195,6611.551508646177,11999.915728401902,15066.631919842646,19697.49951238195
2018-11-20,7992.743055097225,6719.31413836858,12195.504082156496,15312.2051222322,20018.55189224077
2018-11-21,7869.302949093559,6615.540897593224,12007.156439014196,15583.56065604391,20373.3110396982
2018-11-23,7854.977761686228,6632.752665747232,12038.395667373043,15624.104677640591,20426.316638419892
2018-11-26,7635.537113105787,6447.45671825969,11702.084931268653,15187.621753312855,19855.67668153705
2018-11-27,7438.998191275523,6281.499016373984,11400.87296392583,14796.691978452807,20367.421617165208
2018-11-28,7965.132691925953,6725.767621277277,12207.217104577598,15843.210601685143,21807.938596272925
2018-11-29,7947.916987260407,6711.230659559818,12180.832629567703,15808.967351105131,21760.803282304034
2018-11-30,7798.065035361371,6584.695491214238,11951.172260917407,15510.901251664425,21350.519826655083
2018-12-03,7933.790850850256,6488.506229187607,11776.589481552039,15284.317934826728,21038.63133481046
2018-12-04,8681.000862071221,7099.598316622581,12885.716974837567,13795.151566852535,18988.81646275658
2018-12-06,9406.20926921485,7692.69679321103,13962.186201220753,14947.594707114487,20575.13692963565
2018-12-07,8578.225967031032,7015.545742108229,12733.162191046133,13631.82993183907,18764.006714444724
2018-12-10,8898.220153580634,7277.247154681816,13208.14826546149,14140.339074287214,19463.961820322886
2018-12-11,9254.89986437817,7016.736237119417,12735.322930441514,13634.14316962894,18767.190851104166
2018-12-12,9092.223379094774,6893.400706109657,12511.469879232682,13394.4912530023,18437.3136302764
2018-12-13,9246.437768563519,6762.236964929391,12273.408686072984,13139.628427112459,18086.498824034596
2018-12-14,9587.74922981922,7011.849738802624,12726.453973142792,13624.64826838171,18754.121263847952
2018-12-17,9059.486126077778,6625.512818926975,12025.255400430251,12873.96123964134,19808.666101687326
2018-12-18,8997.736381616032,6580.353113640921,11943.290878631784,12786.21191195376,19906.972136931432
2018-12-19,8365.618176705057,6118.063397488116,11104.238558055304,11887.941838392891,18508.447112557486
2018-12-20,8111.099913967282,5931.925465495916,10766.39962647557,11526.25926570976,19088.483916654728
2018-12-21,7263.473004581574,5312.026844796351,9641.288342260445,12799.808001541529,21197.590956552962
2018-12-24,6898.0293804988105,5044.765392848663,9156.210838647485,12155.817417327007,20131.08675723943
2018-12-26,7902.982230811735,5779.721868249564,10490.151254497017,13926.761361979052,16978.260912963604
2018-12-27,7507.393576321714,5490.414322007929,9965.060257330872,13229.648724282659,16128.403581391454
2018-12-28,7349.12985131544,5374.67063365657,9754.986342835253,12950.753863324093,15788.399929891651
2018-12-31,7286.182333349048,5328.6349555395245,9671.431937007519,12839.826742973377,15653.167513489383
2019-01-02,6757.841961790854,5756.090301320501,10447.260140163566,13869.818969121246,16908.84184432158
2019-01-03,6372.806635440043,5428.130855064621,9852.016238296155,13079.571090671741,15945.442363458715
2019-01-04,6860.4027592011735,5843.447954045601,10605.813615782916,14080.315115887144,17165.459905626325
2019-01-07,6676.524701839049,5686.827140982477,10321.54803067578,13702.923134478555,16705.377381033915
2019-01-08,6676.524701839049,5686.827140982477,10306.328868629847,13682.718121910015,16680.74523819596
2019-01-09,6594.604153350227,5617.0501208477235,10424.13011559116,13839.111467894465,16871.406007355436
2019-01-10,6381.013735427952,5803.6404415523875,10770.404715156557,14298.826832989394,17431.849832837263
2019-01-11,6419.695921871459,5838.822547549868,10835.695720714277,14385.507399496593,17537.52302102447
2019-01-14,6424.004442624393,5842.741220400573,10842.967999721468,14395.162102449276,17549.29317070301
2019-01-15,6692.32556108192,5572.831979240764,10342.070021473466,13730.168200977434,16738.59212749119
2019-01-16,6716.278050563244,5592.77769140698,10379.08530429907,13647.089937965009,16637.310545294225
2019-01-17,6940.153965392446,5779.203597641623,10725.05478324216,14101.992894873127,17191.887513457852
2019-01-18,6888.438958198762,5803.757280938822,10770.621545866738,14161.907009603636,17264.92943941782
2019-01-22,7131.381698825904,6008.4452673349015,10383.946669101755,13653.481973557587,16645.103142958178
2019-01-23,7051.682981942466,5941.296235282698,10267.898018129992,13820.587224493858,16848.822907846796
2019-01-24,7117.5560312860935,5996.796645762592,10363.815227473584,13949.691755501322,17006.215596320282
2019-01-25,7027.727929926135,6064.541752779971,10480.894030235664,14107.279784020458,17198.33281549386
2019-01-28,7012.483400793974,6051.386564596067,10505.263094006623,14140.080535530758,17238.320555845577
2019-01-29,6801.410852500481,5869.24259221195,10817.602315800874,14560.489021358722,17750.844952357304
2019-01-30,7073.153066558446,5616.663954035068,10352.074572086613,13933.88883736152,16986.95009299255
2019-01-31,6870.27968402925,5455.565840624759,10055.154603739942,13534.234661406188,17428.120922701626
2019-02-01,6864.878520755642,5451.276873768922,10070.34359276356,13554.679035442836,17454.44727449126
2019-02-04,6632.07901255967,5266.4149608572,9728.841404680885,13095.017206953844,16862.53778489889
2019-02-05,6485.183086932836,5149.767541707779,9931.986966367012,13368.45106358103,17214.640318723596
2019-02-06,6539.634666168208,5098.7696613987355,9833.631015648936,13236.063987516676,17044.16463036925
2019-02-07,6619.063427295758,5160.6980378529715,9953.067829604186,13396.82589829623,17251.178775677377
2019-02-08,6839.167991744852,5332.307391102362,9627.753550348642,12958.952989558144,16687.32701802878
2019-02-11,6746.108130162752,5259.75122808251,9496.749689378496,12782.621837448289,16460.264260636737
2019-02-12,6890.477192802884,5372.311735543608,9699.983439020523,13056.174395033988,16812.519646448298
2019-02-13,6978.291260680576,5440.777900397605,9583.256359324014,12899.05978564095,16610.202154567276
2019-02-14,7084.326590141904,5523.450671659707,9728.874205787217,13095.06135723176,16862.5946374954
2019-02-15,7017.003809834641,5470.960988783766,9636.420130941962,12970.618204075918,16702.34838970521
2019-02-19,6916.167744942681,5555.961843284165,9786.138607665556,13172.139222596283,16961.848299903606
2019-02-20,6894.233438359274,5538.341366897454,9755.102321039165,13130.36439140035,16908.054581394776
2019-02-21,6873.497138815368,5521.683284952998,9725.761173017543,13090.871216187312,16857.198965953365
2019-02-22,6767.931483099774,5436.879275457133,9576.38941438758,12889.816880102524,16598.30000572541
2019-02-25,6852.005166119647,5368.93158849182,9456.707980016934,12728.725710327417,16390.86187149342
2019-02-26,6927.302112190301,5427.930982461138,9560.628104639447,12868.602162566207,16570.981677662265
2019-02-27,6855.2677748018405,5371.488025971074,9461.210827988083,12734.78654215824,16398.66644357912
2019-02-28,6872.7730220147905,5385.2043721277705,9485.37047279241,12767.305415811,16440.541206095724
2019-03-01,6872.7730220147905,5385.2043721277705,9485.37047279241,12767.305415811,16440.541206095724
