date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5,qqq_intraday,qqq_simple_investment
2018-03-22,8096.6600909569315,13196.732601655272,13680.9069649882,19026.053372248738,17950.810099384948,10024.024735597248,10288.600109514147
2018-03-23,7469.993563297629,12175.32988707618,12622.030049486386,17553.47200315257,19329.319619348928,9771.28159284171,10017.484031021468
2018-03-26,7831.962239600236,12765.30202097813,13233.647646014464,18404.049312444266,18259.628439528842,9933.209387203236,10389.719041459944
2018-03-27,8783.99118249775,14317.012386402417,14842.288647296462,20641.188240843177,20479.21201630989,9540.967359565844,10053.506999967874
2018-03-28,8632.073923119111,14069.402702029554,14585.594421703807,20284.20328005274,20125.0283998747,9485.472179681023,9937.853572716467
2018-03-29,8973.764868333925,13537.645749511901,14034.327860883506,19517.556226948385,19364.397405233765,9607.265324541495,10119.866048842192
2018-04-02,9530.426218455174,14377.414148946864,14904.906487547938,18214.718925074038,18071.78377192328,9396.979220240359,9827.893039646186
2018-04-03,9586.300124719459,14461.70442852801,14992.289289625618,18321.50612162975,18177.732984409242,9420.341343492131,9938.48511565393
2018-04-04,8626.258286014123,13013.404132298401,16674.41588880479,20377.16901532429,20217.264611310962,9757.524095745515,10095.217858793207
2018-04-05,8747.41359901994,13196.176662246413,16446.280072856654,20098.37291769635,19940.656291769315,9716.396012118414,10152.725297938641
2018-04-06,8354.784997781084,12603.864851909795,15708.087020991397,19196.255285264273,19045.617787073556,9578.795997293442,9898.672889082747
2018-04-09,8302.925424347171,12525.630516135468,15610.584249515203,19077.100859281236,19186.92072773017,9563.637755338217,9968.188651783941
2018-04-10,8156.214428444847,12756.886546039426,15898.79662599986,19429.314234976107,19541.161666568416,9623.332139924436,10188.11872566846
2018-04-11,8142.665899493942,12735.695704600823,15872.386664827101,19397.03962661236,19546.64422935052,9628.137909005007,10129.344197206341
2018-04-12,8013.928098711429,12534.34083180081,15621.439840086752,19090.367063345762,19237.606375922052,9685.45931697204,10251.32005985546
2018-04-13,8252.24316170518,12907.082162659026,15146.580745557656,18510.05983746087,18652.823382927036,9587.42781085502,10198.229417830511
2018-04-16,8228.434035445212,12869.843033511135,15102.880281779358,18456.65516395406,18599.006812289623,9593.328126535642,10275.965247323127
2018-04-17,7938.9423192309805,13294.298350552728,15600.982536915797,19065.366971762815,19212.413464772733,9701.971548198228,10497.156405361693
2018-04-18,7909.4477966827535,13244.907768445411,15543.0222302771,19170.082387606897,19317.936524901175,9721.830877972428,10518.644879002484
2018-04-19,7807.1596572464605,13073.619328662322,15342.013655971978,18922.16722201327,19068.109250523146,9681.323107480279,10421.951751921133
2018-04-20,7490.302947345798,13568.594098918167,15922.871144148801,19638.57138967363,19790.038867580213,9552.427001131096,10257.002945432194
2018-04-23,7329.538932930894,13277.372011822019,16268.006605386941,20064.24634070932,20218.996944967716,9482.141370454432,10231.09367122916
2018-04-24,7896.299792279619,14304.05252203849,17525.93967429186,21615.72585426417,21782.442638968125,9237.305738325484,10014.326316334156
